Device_id,Time,SensorLocation,LatLong,MinimumWindDirection,AverageWindDirection,MaximumWindDirection,MinimumWindSpeed,AverageWindSpeed,GustWindSpeed,AirTemperature,RelativeHumidity,AtmosphericPressure,PM25,PM10,Noise
ICTMicroclimate-01,2024-06-26T09:50:17+10:00,Birrarung Marr Park - Pole 1131,"-37.8185931, 144.9716404",,24.0,,,0.3,,11.9,69.599998,1013.700012,0.0,3.0,62.5
ICTMicroclimate-08,2024-06-26T01:30:18+10:00,Swanston St - Tram Stop 13 adjacent Federation Sq & Flinders St Station,"-37.8184515, 144.9678474",0.0,215.0,353.0,0.0,1.2,3.0,11.9,58.6,1011.7,4.0,7.0,65.2
ICTMicroclimate-06,2024-06-26T09:55:43+10:00,Tram Stop 7B - Melbourne Tennis Centre Precinct - Rod Laver Arena,"-37.8194993, 144.9787211",0.0,351.0,359.0,0.0,2.8,7.8,12.3,62.4,1014.1,3.0,3.0,71.3
aws5-0999,2024-06-26T09:57:09+10:00,Royal Park Asset ID: COM2707,"-37.7956167, 144.9519007",0.0,144.0,342.0,0.8,0.0,2.9,11.1,76.2,1012.0,,,
ICTMicroclimate-01,2024-06-26T10:05:17+10:00,Birrarung Marr Park - Pole 1131,"-37.8185931, 144.9716404",,344.0,,,0.2,,12.7,65.699997,1013.799988,0.0,3.0,49.099998
ICTMicroclimate-06,2024-06-26T10:10:44+10:00,Tram Stop 7B - Melbourne Tennis Centre Precinct - Rod Laver Arena,"-37.8194993, 144.9787211",0.0,35.0,359.0,0.0,2.8,7.1,13.1,59.8,1014.5,3.0,3.0,85.6
ICTMicroclimate-03,2024-06-26T10:12:13+10:00,CH1 rooftop,"-37.8140348, 144.96728",0.0,351.0,357.0,0.5,1.9,3.6,11.9,68.3,1008.9,2.0,4.0,70.7
ICTMicroclimate-03,2024-06-26T10:27:15+10:00,CH1 rooftop,"-37.8140348, 144.96728",13.0,340.0,15.0,2.6,2.5,2.8,12.6,66.1,1008.9,1.0,4.0,73.5
ICTMicroclimate-08,2024-06-26T10:46:32+10:00,Swanston St - Tram Stop 13 adjacent Federation Sq & Flinders St Station,"-37.8184515, 144.9678474",0.0,5.0,359.0,0.0,2.7,7.5,12.8,60.5,1014.3,4.0,7.0,74.6
ICTMicroclimate-03,2024-06-26T10:57:20+10:00,CH1 rooftop,"-37.8140348, 144.96728",0.0,351.0,355.0,0.3,2.2,5.2,12.8,65.2,1008.8,2.0,4.0,75.9
ICTMicroclimate-08,2024-06-26T11:01:36+10:00,Swanston St - Tram Stop 13 adjacent Federation Sq & Flinders St Station,"-37.8184515, 144.9678474",0.0,345.0,359.0,0.0,1.6,7.6,13.6,57.6,1014.1,4.0,7.0,68.6
ICTMicroclimate-09,2024-06-26T11:09:33+10:00,SkyFarm (Jeff's Shed). Rooftop - Melbourne Conference & Exhibition Centre (MCEC),"-37.8223306, 144.9521696",0.0,22.0,359.0,0.0,2.0,6.7,13.0,59.7,1012.9,0.0,0.0,64.1
ICTMicroclimate-03,2024-06-26T11:12:21+10:00,CH1 rooftop,"-37.8140348, 144.96728",0.0,16.0,359.0,1.5,2.9,5.8,12.9,65.0,1008.7,3.0,5.0,71.7
ICTMicroclimate-08,2024-06-26T11:16:42+10:00,Swanston St - Tram Stop 13 adjacent Federation Sq & Flinders St Station,"-37.8184515, 144.9678474",0.0,345.0,359.0,0.0,1.3,7.3,13.5,58.1,1014.1,4.0,7.0,66.8
